2026-09-01 20:47:52,620 [WARNING] Missing file pair for lead f0720h. Skipping.
VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
Q     | f078h  | 12.7837  | 1.9406   | 0.1224  | 0.00 / 35.00           | 0.00 / 27.40
Q     | f084h  | 13.1882  | 2.0088   | 0.0984  | 0.00 / 35.00           | 0.00 / 28.17
Q     | f090h  | 13.5218  | 2.1141   | 0.0800  | 0.00 / 35.00           | 0.00 / 28.48
Q     | f096h  | 13.7955  | 2.2641   | 0.0656  | 0.00 / 35.00           | 0.00 / 27.57
Q     | f102h  | 14.0343  | 2.4804   | 0.0533  | 0.00 / 35.00           | 0.00 / 29.44
Q     | f108h  | 14.2393  | 2.5886   | 0.0459  | 0.00 / 35.00           | 0.00 / 29.35
Q     | f114h  | 14.4434  | 2.6389   | 0.0361  | 0.00 / 35.00           | 0.00 / 28.87
Q     | f120h  | 14.6150  | 2.7512   | 0.0297  | 0.00 / 35.00           | 0.00 / 27.56
---------------------------------------------------------------------------------------------------------


8/28/2026, epoch 10 results:

(anemoi) [Wei.Huang@ufe01 src]$ runverif.sh
+ python utils/generate_verification_metrics_and_plots.py --fcst_dir output/20260201/06 --truth_dir /scratch5/purged/Wei.Huang/src/starviewerweathermodel/data/icosahedral-truth --init_time 2026020106 --level_idx 10 --out_dir verification_results --show
===================================================================================================================
 GENERATING METRICS SUMMARY (Init: 2026-02-01 06Z | Level Index: 10)
===================================================================================================================
VAR   | LEAD   | RMSE       | BIAS       | ACC
--------------------------------------------------
T     | f006h  | 3.6368     | -0.1791    | 0.9656
T     | f012h  | 3.9358     | 0.1255     | 0.9601
T     | f018h  | 4.2052     | 0.2863     | 0.9527
T     | f024h  | 4.4543     | 0.2154     | 0.9456
T     | f030h  | 5.2657     | 0.0158     | 0.9262
T     | f036h  | 5.4349     | 0.1119     | 0.9226
